"(Intercept)" "speccombfsyl" "speccombfsyl_qrob" "speccombfsyl_qrub" "speccombqrob" "speccombqrob_qrub" "speccombqrub" "fragm_std" "speccombfsyl:fragm_std" "speccombfsyl_qrob:fragm_std" "speccombfsyl_qrub:fragm_std" "speccombqrob:fragm_std" "speccombqrob_qrub:fragm_std" "speccombqrub:fragm_std"
1 0 0 0 0 1 0 -2.42 0 0 0 0 -2.42 0
1 0 0 0 0 1 0 0 0 0 0 0 0 0
1 0 0 0 0 1 0 1.69 0 0 0 0 1.69 0
1 1 0 0 0 0 0 -2.42 -2.42 0 0 0 0 0
1 1 0 0 0 0 0 0 0 0 0 0 0 0
1 1 0 0 0 0 0 1.69 1.69 0 0 0 0 0
1 0 0 1 0 0 0 -2.42 0 0 -2.42 0 0 0
1 0 0 1 0 0 0 0 0 0 0 0 0 0
1 0 0 1 0 0 0 1.69 0 0 1.69 0 0 0
1 0 0 0 0 0 0 -2.42 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 1.69 0 0 0 0 0 0
1 0 1 0 0 0 0 -2.42 0 -2.42 0 0 0 0
1 0 1 0 0 0 0 0 0 0 0 0 0 0
1 0 1 0 0 0 0 1.69 0 1.69 0 0 0 0
1 0 0 0 0 0 1 -2.42 0 0 0 0 0 -2.42
1 0 0 0 0 0 1 0 0 0 0 0 0 0
1 0 0 0 0 0 1 1.69 0 0 0 0 0 1.69
1 0 0 0 1 0 0 -2.42 0 0 0 -2.42 0 0
1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 0 0 0 1 0 0 1.69 0 0 0 1.69 0 0
